0.0,0.0,0.0,0.0,0.0,0.0,0.0
-364.0,80.0,16452.0,-14.0,-15.0,-4.0,9.0
-308.0,128.0,16428.0,20.0,3.0,12.0,12.0
-264.0,128.0,16500.0,15.0,-34.0,4.0,15.0
-284.0,108.0,16544.0,-28.0,-10.0,-47.0,18.0
-320.0,100.0,16500.0,-1.0,-7.0,-9.0,21.0
-340.0,168.0,16372.0,-32.0,-25.0,-6.0,24.0
-372.0,212.0,16496.0,-16.0,-1.0,16.0,27.0
-260.0,136.0,16536.0,12.0,-25.0,-34.0,30.0
-312.0,108.0,16488.0,18.0,-38.0,-9.0,33.0
-268.0,152.0,16536.0,-27.0,3.0,-12.0,36.0
-328.0,136.0,16500.0,-8.0,-33.0,5.0,39.0
-324.0,148.0,16608.0,-41.0,-10.0,12.0,43.0
-212.0,88.0,16572.0,-1.0,-23.0,-22.0,46.0
-288.0,152.0,16552.0,6.0,3.0,-6.0,49.0
-276.0,160.0,16488.0,9.0,-40.0,24.0,52.0
-308.0,188.0,16504.0,6.0,18.0,-27.0,55.0
-304.0,120.0,16476.0,-4.0,-26.0,10.0,58.0
-300.0,64.0,16532.0,2.0,-11.0,-28.0,61.0
-320.0,112.0,16460.0,0.0,-20.0,-3.0,64.0
-308.0,140.0,16500.0,-6.0,-22.0,-23.0,67.0
-260.0,164.0,16512.0,-26.0,-36.0,-21.0,70.0
-324.0,132.0,16544.0,-8.0,22.0,0.0,73.0
-360.0,84.0,16660.0,-9.0,-4.0,29.0,76.0
-284.0,228.0,16592.0,24.0,-24.0,-11.0,79.0
-348.0,216.0,16528.0,-16.0,-49.0,-2.0,82.0
-360.0,96.0,16608.0,-15.0,1.0,9.0,86.0
-316.0,108.0,16528.0,-25.0,-11.0,1.0,89.0
-280.0,152.0,16548.0,-10.0,-8.0,2.0,92.0
-288.0,168.0,16552.0,1.0,-35.0,-10.0,95.0
-344.0,116.0,16604.0,6.0,4.0,7.0,98.0
-352.0,120.0,16496.0,14.0,1.0,15.0,101.0
-316.0,124.0,16508.0,-12.0,21.0,15.0,104.0
-316.0,148.0,16452.0,5.0,-34.0,-39.0,107.0
-292.0,128.0,16492.0,-15.0,-19.0,-20.0,110.0
-336.0,132.0,16528.0,-6.0,-25.0,26.0,113.0
-276.0,160.0,16588.0,-18.0,-30.0,-37.0,116.0
-364.0,152.0,16572.0,-16.0,-24.0,-5.0,119.0
-332.0,144.0,16512.0,-11.0,-16.0,7.0,122.0
-300.0,176.0,16436.0,20.0,-9.0,15.0,125.0
-344.0,140.0,16452.0,-7.0,-30.0,14.0,129.0
-252.0,140.0,16528.0,17.0,-9.0,-6.0,132.0
-316.0,160.0,16568.0,5.0,10.0,-33.0,135.0
-356.0,156.0,16508.0,-10.0,-37.0,5.0,138.0
-308.0,100.0,16476.0,-7.0,-8.0,5.0,141.0
-292.0,188.0,16520.0,10.0,-11.0,1.0,144.0
-268.0,188.0,16540.0,-7.0,-36.0,-14.0,147.0
-328.0,124.0,16464.0,-3.0,30.0,-31.0,150.0
-300.0,128.0,16516.0,-4.0,-14.0,13.0,153.0
-308.0,148.0,16608.0,-10.0,21.0,-17.0,156.0
-368.0,136.0,16424.0,22.0,-39.0,15.0,159.0
-332.0,164.0,16528.0,-17.0,-41.0,-29.0,163.0
-336.0,152.0,16500.0,-3.0,-7.0,-8.0,166.0
-276.0,176.0,16448.0,-7.0,-67.0,-15.0,169.0
-368.0,108.0,16528.0,16.0,-5.0,30.0,173.0
-292.0,188.0,16508.0,2.0,-23.0,-15.0,176.0
